trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-47.57365110732479,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-99.11631258662472,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-165.5267412989368,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-245.9763224994352,"{0: 15, 1: 5, 2: 4, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-95.38682017487277,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-63.35959970791801,"{0: 14, 1: 2, 2: 1, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-158.67760847020466,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-108.32308967422765,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-29.51894849094683,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-44.32356204781436,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-164.93594623867682,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,17,-23.535417055819934,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-103.4173147507993,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-49.250364376183015,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-88.04651377999312,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-142.8877101162639,"{0: 22, 1: 3, 2: 7, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-56.54270970775745,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-140.78612983176933,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-129.64400096268665,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-231.12595371807294,"{0: 11, 1: 1, 2: 8, 3: 2, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-76.49523898255578,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-182.00395178811215,"{0: 11, 1: 1, 2: 9, 3: 3, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-132.9778785963375,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-146.9456728380728,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-93.01754341666147,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,10,-3.3141999982479975,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-103.81998679013297,"{0: 18, 1: 2, 2: 1, 3: 3, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-177.97559576230273,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-108.13887231954314,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-191.6005473087959,"{0: 10, 1: 2, 2: 11, 3: 0, 4: 2}",0
